,state_abbr,region_type,geoid,name,html_url
0,AK,state,02,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=02
1,DC,state,11,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=11
2,TX,state,48,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=48
3,UT,state,49,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=49
4,RI,state,44,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=44
5,CO,state,08,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=08
6,ME,state,23,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=23
7,AR,state,05,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=05
8,HI,state,15,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=15
9,AZ,state,04,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=04
10,DE,state,10,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=10
11,GA,state,13,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=13
12,SD,state,46,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=46
13,MN,state,27,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=27
14,KS,state,20,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=20
15,CA,state,06,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=06
16,FL,state,12,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=12
17,CT,state,09,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=09
18,ID,state,16,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=16
19,IN,state,18,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=18
20,IL,state,17,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=17
21,NV,state,32,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=32
22,IA,state,19,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=19
23,MA,state,25,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=25
24,KY,state,21,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=21
25,WY,state,56,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=56
26,LA,state,22,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=22
27,AL,state,01,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=01
28,MD,state,24,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=24
29,MI,state,26,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=26
30,MO,state,29,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=29
31,NH,state,33,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=33
32,MT,state,30,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=30
33,MS,state,28,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=28
34,NY,state,36,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=36
35,VT,state,50,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=50
36,OR,state,41,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=41
37,NE,state,31,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=31
38,TN,state,47,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=47
39,NM,state,35,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=35
40,VA,state,51,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=51
41,WI,state,55,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=55
42,NC,state,37,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=37
43,OH,state,39,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=39
44,OK,state,40,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=40
45,SC,state,45,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=45
46,WA,state,53,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=53
47,WV,state,54,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=54
48,NJ,state,34,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=34
49,ND,state,38,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=38
50,PA,state,42,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=42
51,AK,county,02170,Matanuska-Susitna,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02170
52,AK,county,02060,Bristol Bay,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02060
53,AK,county,02230,Skagway,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02230
