Branch,First Name,Last Name,District,HB 1635: Floor Amendment #3,HB 1700: Recommendation #34,HB 1908,HB 2241,HB 2269,HB 2292,HB 2329,HB 2611,HB 2696,SB 1328,SB 1355,SB 1456,SB 1573,SB 1605,SB 1666
Senate,George,Barker,39,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Richard,Black,13,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted against improved monitoring of elecric utilities' energy efficienty programs, which allows for weakened assessment of electric utility's sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Jennifer,Boysko,33,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Charles,Carrico,40,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Benton,Chafin,38,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Amanda,Chase,11,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,John,Cosgrove,14,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Rosalyn,Dance,16,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to remove unnecesarry limitations on renewable energy access, which allows Virginia to reduce fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",Candidate voted to preserve offshore habitat and limit fossil fuel dependency by prohibiting drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,William,DeSteph,8,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Creigh,Deeds,25,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
